SKILL_20150317_000001	Ataque
SKILL_20150317_000002	[Elite Kepa] Uma vez, Físico, Propriedade Veneno, Impacto
SKILL_20150317_000003	[Rafflesia] Espalhar Veneno
SKILL_20150317_000004	[Rafflesia] Bomba de Veneno
SKILL_20150317_000005	[Raffly] Físico, Impacto, Propriedade Veneno, Ataca uma vez
SKILL_20150317_000006	[Raffly] Físico, Impacto, Propriedade Veneno, Pula e ataca uma vez
SKILL_20150317_000007	[Puragi] Físico, Impacto, Propriedade Veneno, 1 Ataque normal
SKILL_20150317_000008	[Puragi] Físico, Impacto, Propriedade Veneno, Ataca uma vez
SKILL_20150317_000009	[Puragi] Físico, Impacto, Propriedade Veneno, Pisoteia uma vez
SKILL_20150317_000010	[Zigri] Ataque Normal, AoE Cônico
SKILL_20150317_000011	[Zigri] Impacto Giratório
SKILL_20150317_000012	[Zigri] Pula e Pisoteia
SKILL_20150317_000013	[Pescador] Físico, Impacto, Propriedade Gelo, Bate com uma vara de pescar
SKILL_20150317_000014	[Pescador] Mágico, Buffa, Mágico, Buffa Habilidade
SKILL_20150317_000015	[Pokuborn Verde] Físico, Perfurante, Propriedade Elétrica, Ataca com o chifre uma vez
SKILL_20150317_000016	[Aranha Arbusto] Físico, Impacto, Propriedade Terra, Ataca uma vez
SKILL_20150317_000017	[Fragaras] Mordida Rápida
SKILL_20150317_000018	[Fragaras] Grande Mordida
SKILL_20150317_000019	[Fragaras] Ataque Normal, AoE Cônico
SKILL_20150317_000020	Ataque Normal Básico
SKILL_20150317_000021	[Meduja] Mágico, Mágico, Ataca com Propriedade Elétrica uma vez
SKILL_20150317_000022	[Gribaru] Físico, Cortante, Ataca com Propriedade Elétrica uma vez
SKILL_20150317_000023	[Gribaru] Físico, Cortante, Empurra com Propriedade Elétrica uma vez
SKILL_20150317_000024	[Mordida] Físico, Perfurante, Ataca com Propriedade Veneno uma vez
SKILL_20150317_000025	[Banshee] Mágico, Mágico, Propriedade Gelo, Ataca com um Sopro de Gelo uma vez
SKILL_20150317_000026	[Banshee] Mágico, Mágico, Propriedade Gelo, Rajada Congelante
SKILL_20150317_000027	[Mini Griba] Físico, Impacto, Propriedade Elétrica, Impacta usando as duas mãos uma vez
SKILL_20150317_000028	[Grande Griba] Físico, Impacto, Propriedade Elétrica, Esmaga uma vez
SKILL_20150317_000029	[Grande Griba] Físico, Impacto, Propriedade Elétrica, Espalha Veneno uma vez
SKILL_20150317_000030	[Grande Griba] Físico, Impacto, Propriedade Elétrica, Esmaga contra o chão uma vez
SKILL_20150317_000031	[Haming] Físico, Impacto, Propriedade Elétrica, Ataca com a Cabeça
SKILL_20150317_000032	[Haming] Físico, Impacto, Propriedade Elétrica, Contra Ataque
SKILL_20150317_000033	[Haming] Físico, Impacto, Propriedade Elétrica, Ataca com um pulo giratório
SKILL_20150317_000034	[Truffle] Físico, Impacto, Propriedade Elétrica, Ataca com o corpo
SKILL_20150317_000035	[Truffle] Físico, Impacto, Propriedade Elétrica, Esmaga
SKILL_20150317_000036	[Truffle] Físico, Impacto, Propriedade Elétrica, Ataca com o corpo
SKILL_20150317_000037	[Slime_Dark] Físico, Impacto, Propriedade Sombria, Cabeçada
SKILL_20150317_000038	[Slime_Dark] Físico, Impacto, Propriedade Sombria, Ataca uma vez
SKILL_20150317_000039	[Kepa] Físico, Impacto, Propriedade Veneno, AoE em volta
SKILL_20150317_000040	[Kepa Dedicado] Ataque Normal, AoE em volta
SKILL_20150317_000041	[Velho Kepa] Físico, Impacto, Propriedade Terra, Emana Fumaça
SKILL_20150317_000042	[Bola de Espinhos] Físico, Perfurante, Propriedade Veneno, AoE em volta
SKILL_20150317_000043	[Matsum] Físico, Impacto, Propriedade Fogo, AoE em volta
SKILL_20150317_000044	[Sakmoli] Mágico, Impacto, Propriedade Gelo, Ataca uma vez
SKILL_20150317_000045	[Sakmoli] Mágico, Impacto, Propriedade Gelo, Ataca uma vez
SKILL_20150317_000046	[Jukopus] Físico, Impacto, Propriedade Terra, Ataca com o corpo
SKILL_20150317_000047	[Jukopus] Físico, Impacto, Propriedade Terra, Pula e Ataca com o corpo
SKILL_20150317_000048	[Bushspider Vermelho] Pula e Esmaga
SKILL_20150317_000049	[Bushspider Vermelho] Ataque Normal, AoE em volta
SKILL_20150317_000050	[Bebê Dionia] Ataque Normal, AoE em volta
SKILL_20150317_000051	[Mini Griba] Físico, Impacto, Propriedade Veneno, Um soco
SKILL_20150317_000052	[Mini Griba] Físico, Impacto, Propriedade Veneno, Um-Dois Soco
SKILL_20150317_000053	[Mini Griba] Físico, Impacto, Propriedade Veneno, Impacto com duas mãos
SKILL_20150317_000054	[Griba] Físico, Impacto, Ataca com Propriedade Gelo uma vez
SKILL_20150317_000055	[Griba] Mágico, Mágico, Ataca com Propriedade Gelo uma vez
SKILL_20150317_000056	[Velho Kepa] Ataque Normal, AoE em volta
SKILL_20150317_000057	[Árvore Fantasma] Impacto com uma mão
SKILL_20150317_000058	[Árvore Fantasma] Espalmeia com Duas mãos
SKILL_20150317_000059	[Árvore Fantasma] Treme o Chão
SKILL_20150317_000060	[Cockatrice] Mágico, Mágico, Propriedade Fogo, Sopro de Fogo 3 Vezes
SKILL_20150317_000061	[Zinute] Ataque Perfurante de Fogo uma vez
SKILL_20150317_000062	[Zinute] Ataque Cortante de Fogo uma vez
SKILL_20150317_000063	[Tontulia] Impacta com Propriedade Elétrica uma vez
SKILL_20150317_000064	[Tontulia] Impacta com Propriedade Elétrica duas vezes
SKILL_20150317_000065	[Tontus] Impacto Físico, Ataque de Propriedade Veneno duas vezes
SKILL_20150317_000066	[Tontus] Perfuração Física, Ataca com Propriedade Veneno uma vez
SKILL_20150317_000067	[Tontus] Impacto Físico, Ataca com Propriedade Veneno uma vez
SKILL_20150317_000068	[Vekarabe] Físico, Perfurante, Propriedade Veneno, Avança Perfurando
SKILL_20150317_000069	[Vekarabe] Físico, Perfurante, Propriedade Veneno, Avança Perfurando para cima
SKILL_20150317_000070	[Geppetto] Impacto Físico, Ataca com Propriedade Terra duas vezes
SKILL_20150317_000071	[Geppetto] Impacto Físico, Ataca com Propriedade Terra uma vez
SKILL_20150317_000072	[Geppetto] Impacto Físico, Ataca com Propriedade Terra uma vez
SKILL_20150317_000073	[Boowook] Físico, Impacto, Ataca com Propriedade Terra uma vez
SKILL_20150317_000074	[Boowook] Físico, Impacto, Ataca com Propriedade Terra Usando o Pé uma vez
SKILL_20150317_000075	[Desmodus] Físico, Perfurante, Golpe de Cauda com Propriedade Sombria
SKILL_20150317_000076	[Desmodus] Físico, Perfurante, Golpe de Corpo com Propriedade Sombria
SKILL_20150317_000077	[Pino] Golpe Físico, Ataca com Propriedade Terra uma vez
SKILL_20150317_000078	[Cauliflor] Físico, Perfurante, Propriedade Veneno, Esmaga com Tentaclo
SKILL_20150317_000079	[Cauliflor] Físico, Perfurante, Propriedade Veneno, Corta com tentaclo
SKILL_20150317_000080	[Cauliflor] Físico, Perfurante, Propriedade Veneno, Esmaga o Chão
SKILL_20150317_000081	[Helmet Bug] Físico, Perfurante, Propriedade Terra, Ataca uma vez
SKILL_20150317_000082	[Helmet Bug] Ataque Normal2
SKILL_20150317_000083	[Mago Bikaaras] Mágico, Mágico, Propriedade Fogo, Ataca uma vez
SKILL_20150317_000084	[Mago Bikaaras] Físico, Cortante, Propriedade Fogo, Ataca uma vez
SKILL_20150317_000085	[Vikaras] Físico, Cortante, Propriedade Fogo, Ataca uma vez
SKILL_20150317_000086	[Vikaras] Físico, Cortante, Propriedade Fogo, Esmaga contra o chão uma vez
SKILL_20150317_000087	[Chinency Mutante] Ataque Normal, Projétil
SKILL_20150317_000088	[Zinute] Golpe de Uma mão
SKILL_20150317_000089	[Zinute] Tapa de Duas Mãos
SKILL_20150317_000090	[Zinute] Esmaga o Chão
SKILL_20150317_000091	[Lauzinute] Físico, Perfurante, Ataca com Propriedade Fogo uma vez
SKILL_20150317_000092	[Lauzinute] Físico, Perfurante, Ataque Rotativo de Propriedade Fogo
SKILL_20150317_000093	[Dandel] Ataque Perfurante de Propriedade Elétrica uma vez
SKILL_20150317_000094	[Rusrat] Físico, Cortante, Ataca com Propriedade Elétrica duas vezes
SKILL_20150317_000095	[Rusrat] Físico, Cortante, Ataca com Propriedade Elétrica uma vez
SKILL_20150317_000096	[Medakia] Físico, Cortante, Ataca com Propriedade Sombria uma vez
SKILL_20150317_000097	[Medakia] Mágico, Mágico, Ataca com Propriedade Sombria uma vez
